"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Sep 25, 2025",24746.00,24793.50,24422.50,24629.25,24629.25,710112
"Sep 24, 2025",24839.50,24913.50,24627.00,24739.25,24739.25,530441
"Sep 23, 2025",24995.00,25026.00,24780.50,24827.25,24827.25,564182
"Sep 22, 2025",24850.00,25027.25,24748.75,25003.00,25003.00,481197
"Sep 19, 2025",24468.25,24575.00,24412.50,24568.07,24568.07,505600
"Sep 18, 2025",24250.25,24569.50,24248.50,24460.25,24460.25,106669
"Sep 17, 2025",24290.00,24312.50,24003.75,24222.50,24222.50,171533
"Sep 16, 2025",24290.00,24403.50,24258.25,24284.00,24284.00,211077
"Sep 15, 2025",24115.25,24315.50,24076.00,24309.25,24309.25,366064
"Sep 12, 2025",24028.25,24159.00,23969.00,24113.25,24113.25,425565
"Sep 11, 2025",23853.75,24046.00,23838.00,24017.75,24017.75,445071
"Sep 10, 2025",23898.50,24044.25,23785.00,23877.75,23877.75,521709
"Sep 09, 2025",23799.00,23921.25,23726.00,23874.00,23874.00,473187
"Sep 08, 2025",23673.50,23888.00,23650.25,23799.75,23799.75,457632
"Sep 05, 2025",23700.00,23902.00,23505.00,23684.00,23684.00,674088
"Sep 04, 2025",23456.75,23708.75,23410.00,23668.00,23668.00,484986
"Sep 03, 2025",23382.00,23525.25,23298.25,23448.75,23448.75,563651
"Sep 02, 2025",23479.00,23552.50,23025.25,23275.00,23275.00,744115
"Aug 29, 2025",23760.50,23762.00,23397.50,23461.75,23461.75,0
"Aug 28, 2025",23542.25,23803.75,23487.50,23769.00,23769.00,486265
"Aug 27, 2025",23604.00,23689.00,23434.75,23628.75,23628.75,436560
"Aug 26, 2025",23505.75,23611.00,23371.50,23591.50,23591.50,443746
"Aug 25, 2025",23602.00,23616.25,23443.25,23498.25,23498.25,399485
"Aug 22, 2025",23225.25,23650.00,23076.75,23569.75,23569.75,490867
"Aug 21, 2025",23323.00,23369.25,23119.00,23219.75,23219.75,525924
"Aug 20, 2025",23461.00,23485.50,23035.00,23324.00,23324.00,713574
"Aug 19, 2025",23800.75,23838.00,23426.00,23469.50,23469.50,557582
"Aug 18, 2025",23795.00,23881.75,23719.00,23797.75,23797.75,399622
"Aug 15, 2025",23888.75,23963.00,23734.50,23804.00,23804.00,441888
"Aug 14, 2025",23927.75,24007.75,23793.25,23930.50,23930.50,492051
